Mass (Solar Masses) | Distance (Units) | Information Density | QIR-HPC Correction
5.00 | 50.00 | 0.0100 | 4.515633
5.05 | 50.45 | 0.0101 | 4.535321
5.09 | 50.90 | 0.0102 | 4.554847
5.14 | 51.35 | 0.0103 | 4.574216
5.18 | 51.80 | 0.0104 | 4.593429
5.23 | 52.25 | 0.0105 | 4.612489
5.27 | 52.70 | 0.0105 | 4.631398
5.32 | 53.15 | 0.0106 | 4.650158
5.36 | 53.60 | 0.0107 | 4.668773
5.41 | 54.05 | 0.0108 | 4.687243
5.45 | 54.50 | 0.0109 | 4.705572
5.50 | 54.95 | 0.0110 | 4.723761
5.54 | 55.41 | 0.0111 | 4.741812
5.59 | 55.86 | 0.0112 | 4.759728
5.63 | 56.31 | 0.0113 | 4.777510
5.68 | 56.76 | 0.0114 | 4.795161
5.72 | 57.21 | 0.0114 | 4.812682
5.77 | 57.66 | 0.0115 | 4.830075
5.81 | 58.11 | 0.0116 | 4.847342
5.86 | 58.56 | 0.0117 | 4.864485
5.90 | 59.01 | 0.0118 | 4.881506
5.95 | 59.46 | 0.0119 | 4.898405
5.99 | 59.91 | 0.0120 | 4.915186
6.04 | 60.36 | 0.0121 | 4.931849
6.08 | 60.81 | 0.0122 | 4.948396
6.13 | 61.26 | 0.0123 | 4.964829
6.17 | 61.71 | 0.0123 | 4.981149
6.22 | 62.16 | 0.0124 | 4.997358
6.26 | 62.61 | 0.0125 | 5.013458
6.31 | 63.06 | 0.0126 | 5.029449
6.35 | 63.51 | 0.0127 | 5.045333
6.40 | 63.96 | 0.0128 | 5.061112
6.44 | 64.41 | 0.0129 | 5.076787
6.49 | 64.86 | 0.0130 | 5.092359
6.53 | 65.32 | 0.0131 | 5.107830
6.58 | 65.77 | 0.0132 | 5.123200
6.62 | 66.22 | 0.0132 | 5.138472
6.67 | 66.67 | 0.0133 | 5.153646
6.71 | 67.12 | 0.0134 | 5.168724
6.76 | 67.57 | 0.0135 | 5.183707
6.80 | 68.02 | 0.0136 | 5.198596
6.85 | 68.47 | 0.0137 | 5.213392
6.89 | 68.92 | 0.0138 | 5.228096
6.94 | 69.37 | 0.0139 | 5.242710
6.98 | 69.82 | 0.0140 | 5.257235
7.03 | 70.27 | 0.0141 | 5.271671
7.07 | 70.72 | 0.0141 | 5.286020
7.12 | 71.17 | 0.0142 | 5.300282
7.16 | 71.62 | 0.0143 | 5.314459
7.21 | 72.07 | 0.0144 | 5.328552
7.25 | 72.52 | 0.0145 | 5.342562
7.30 | 72.97 | 0.0146 | 5.356490
7.34 | 73.42 | 0.0147 | 5.370336
7.39 | 73.87 | 0.0148 | 5.384102
7.43 | 74.32 | 0.0149 | 5.397788
7.48 | 74.77 | 0.0150 | 5.411396
7.52 | 75.23 | 0.0150 | 5.424926
7.57 | 75.68 | 0.0151 | 5.438379
7.61 | 76.13 | 0.0152 | 5.451756
7.66 | 76.58 | 0.0153 | 5.465059
7.70 | 77.03 | 0.0154 | 5.478287
7.75 | 77.48 | 0.0155 | 5.491441
7.79 | 77.93 | 0.0156 | 5.504523
7.84 | 78.38 | 0.0157 | 5.517533
