Quantum Information Gravity - Galactic Rotation Results
------------------------------------------------------
Radius (kpc) | Newtonian Velocity (km/s) | GR Velocity (km/s) | QIG Velocity (km/s)
1.00 kpc | 655.81 km/s | 685.48 km/s | 655.81 km/s
1.29 kpc | 576.76 km/s | 602.10 km/s | 576.76 km/s
1.59 kpc | 520.77 km/s | 542.99 km/s | 520.77 km/s
1.88 kpc | 478.46 km/s | 498.28 km/s | 478.46 km/s
2.17 kpc | 445.02 km/s | 462.93 km/s | 445.02 km/s
2.46 kpc | 417.74 km/s | 434.06 km/s | 417.74 km/s
2.76 kpc | 394.93 km/s | 409.91 km/s | 394.93 km/s
3.05 kpc | 375.49 km/s | 389.32 km/s | 375.49 km/s
3.34 kpc | 358.66 km/s | 371.50 km/s | 358.66 km/s
3.64 kpc | 343.91 km/s | 355.86 km/s | 343.91 km/s
3.93 kpc | 330.84 km/s | 342.01 km/s | 330.84 km/s
4.22 kpc | 319.16 km/s | 329.62 km/s | 319.16 km/s
4.52 kpc | 308.63 km/s | 318.46 km/s | 308.63 km/s
4.81 kpc | 299.08 km/s | 308.33 km/s | 299.08 km/s
5.10 kpc | 290.37 km/s | 299.09 km/s | 290.37 km/s
5.39 kpc | 282.38 km/s | 290.61 km/s | 282.38 km/s
5.69 kpc | 275.01 km/s | 282.79 km/s | 275.01 km/s
5.98 kpc | 268.19 km/s | 275.56 km/s | 268.19 km/s
6.27 kpc | 261.85 km/s | 268.84 km/s | 261.85 km/s
6.57 kpc | 255.94 km/s | 262.58 km/s | 255.94 km/s
6.86 kpc | 250.42 km/s | 256.72 km/s | 250.42 km/s
7.15 kpc | 245.23 km/s | 251.23 km/s | 245.23 km/s
7.44 kpc | 240.36 km/s | 246.07 km/s | 240.36 km/s
7.74 kpc | 235.77 km/s | 241.21 km/s | 235.77 km/s
8.03 kpc | 231.43 km/s | 236.61 km/s | 231.43 km/s
8.32 kpc | 227.32 km/s | 232.26 km/s | 227.32 km/s
8.62 kpc | 223.42 km/s | 228.14 km/s | 223.42 km/s
8.91 kpc | 219.72 km/s | 224.22 km/s | 219.72 km/s
9.20 kpc | 216.19 km/s | 220.50 km/s | 216.19 km/s
9.49 kpc | 212.83 km/s | 216.95 km/s | 212.83 km/s
9.79 kpc | 209.62 km/s | 213.56 km/s | 209.62 km/s
10.08 kpc | 206.55 km/s | 210.32 km/s | 206.55 km/s
10.37 kpc | 203.62 km/s | 207.22 km/s | 203.62 km/s
10.67 kpc | 200.80 km/s | 204.26 km/s | 200.80 km/s
10.96 kpc | 198.10 km/s | 201.41 km/s | 198.10 km/s
11.25 kpc | 195.50 km/s | 198.68 km/s | 195.50 km/s
11.55 kpc | 193.01 km/s | 196.05 km/s | 193.01 km/s
11.84 kpc | 190.60 km/s | 193.52 km/s | 190.60 km/s
12.13 kpc | 188.29 km/s | 191.09 km/s | 188.29 km/s
12.42 kpc | 186.06 km/s | 188.74 km/s | 186.06 km/s
12.72 kpc | 183.90 km/s | 186.48 km/s | 183.90 km/s
13.01 kpc | 181.82 km/s | 184.29 km/s | 181.82 km/s
13.30 kpc | 179.81 km/s | 182.18 km/s | 179.81 km/s
13.60 kpc | 177.86 km/s | 180.14 km/s | 177.86 km/s
13.89 kpc | 175.97 km/s | 178.17 km/s | 175.97 km/s
14.18 kpc | 174.15 km/s | 176.25 km/s | 174.15 km/s
14.47 kpc | 172.38 km/s | 174.40 km/s | 172.38 km/s
14.77 kpc | 170.66 km/s | 172.61 km/s | 170.66 km/s
15.06 kpc | 168.99 km/s | 170.86 km/s | 168.99 km/s
15.35 kpc | 167.37 km/s | 169.17 km/s | 167.37 km/s
15.65 kpc | 165.80 km/s | 167.53 km/s | 165.80 km/s
15.94 kpc | 164.26 km/s | 165.93 km/s | 164.26 km/s
16.23 kpc | 162.78 km/s | 164.38 km/s | 162.78 km/s
16.53 kpc | 161.33 km/s | 162.87 km/s | 161.33 km/s
16.82 kpc | 159.92 km/s | 161.40 km/s | 159.92 km/s
17.11 kpc | 158.54 km/s | 159.97 km/s | 158.54 km/s
17.40 kpc | 157.20 km/s | 158.58 km/s | 157.20 km/s
17.70 kpc | 155.89 km/s | 157.22 km/s | 155.89 km/s
17.99 kpc | 154.62 km/s | 155.90 km/s | 154.62 km/s
18.28 kpc | 153.38 km/s | 154.61 km/s | 153.38 km/s
18.58 kpc | 152.16 km/s | 153.35 km/s | 152.16 km/s
18.87 kpc | 150.98 km/s | 152.12 km/s | 150.98 km/s
19.16 kpc | 149.82 km/s | 150.92 km/s | 149.82 km/s
19.45 kpc | 148.69 km/s | 149.75 km/s | 148.69 km/s
19.75 kpc | 147.58 km/s | 148.60 km/s | 147.58 km/s
20.04 kpc | 146.50 km/s | 147.48 km/s | 146.50 km/s
20.33 kpc | 145.44 km/s | 146.39 km/s | 145.44 km/s
20.63 kpc | 144.40 km/s | 145.32 km/s | 144.40 km/s
20.92 kpc | 143.39 km/s | 144.27 km/s | 143.39 km/s
21.21 kpc | 142.39 km/s | 143.25 km/s | 142.39 km/s
21.51 kpc | 141.42 km/s | 142.24 km/s | 141.42 km/s
21.80 kpc | 140.47 km/s | 141.26 km/s | 140.47 km/s
22.09 kpc | 139.53 km/s | 140.30 km/s | 139.53 km/s
22.38 kpc | 138.62 km/s | 139.35 km/s | 138.62 km/s
22.68 kpc | 137.72 km/s | 138.43 km/s | 137.72 km/s
22.97 kpc | 136.84 km/s | 137.52 km/s | 136.84 km/s
23.26 kpc | 135.97 km/s | 136.64 km/s | 135.97 km/s
