Radius (kpc), Observed Velocity (km/s), QIG Velocity (km/s), Difference (km/s)
0.50, 42.50, 38.25, 4.25
1.00, 50.10, 45.09, 5.01
1.50, 55.30, 49.77, 5.53
2.00, 59.70, 53.73, 5.97
2.50, 63.20, 56.88, 6.32
3.00, 66.00, 59.40, 6.60
3.50, 68.50, 61.65, 6.85
4.00, 70.80, 63.72, 7.08
4.50, 72.90, 65.61, 7.29
5.00, 74.70, 67.23, 7.47
5.50, 76.40, 68.76, 7.64
6.00, 77.90, 70.11, 7.79
6.50, 79.30, 71.37, 7.93
7.00, 80.60, 72.54, 8.06
7.50, 81.80, 73.62, 8.18
8.00, 82.90, 74.61, 8.29
8.50, 83.90, 75.51, 8.39
9.00, 84.80, 76.32, 8.48
9.50, 85.70, 77.13, 8.57
10.00, 86.50, 77.85, 8.65
